Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
BEALS,BESU3 ,Betula ×sukaczewii Soczava,,
BEAR,,Besseya arizonica Pennell,Arizona coraldrops,Scrophulariaceae
BEAT,,Beta atriplicifolia Rouy,beet,Chenopodiaceae
BEAUC,,Beaucarnea Lem.,bottle-palm,Liliaceae
BEBBI,,Bebbia (Benth.) Greene,sweetbush,Asteraceae
BEBE4,,Berlandiera betonicifolia (Hook.) Small,Texas greeneyes,Asteraceae
BEBE4,BEBE,"Berlandiera ×betonicifolia (Hook.) Small (pro sp.), database artifact",,
BEBE4,BETE2,Berlandiera texana DC.,,
BEBE4,BETEB,Berlandiera texana DC. var. betonicifolia (Hook.) Torr. & A. Gray,,
BEBO,,Betula borealis Spach,northern birch,Betulaceae
BEBO,BEPUB,Betula pubescens Ehrh. ssp. borealis (Spach) Á. Löve & D. Löve,,
BEBU,,Besseya bullii (Eaton) Rydb.,Bull's coraldrops,Scrophulariaceae
BEBU,SYBU,Synthyris bullii (Eaton) A. Heller,,
BEBU,WUBU,Wulfenia bullii (Eaton) Barnhart,,
BECA2,,Berberis canadensis Mill.,American barberry,Berberidaceae
BECA4,,Betula ×caerulea Blanch. (pro sp.),blue birch,Betulaceae
BECAC,,Betula ×caerulea Blanch. var. caerulea,blue birch,Betulaceae
BECAG,,Betula ×caerulea Blanch. var. grandis Blanch. (pro nm.),big blue birch,Betulaceae
BECAG,BECA8,Betula ×caerulea-grandis Blanch.,,
BECH,,Belamcanda chinensis (L.) DC.,blackberry lily,Iridaceae
BECH,GECH2,Gemmingia chinensis (L.) Kuntze,,
BECH,IRDO2,Iris domestica (L.) Goldblatt & Mabb.,,
BECI3,,Bellemerea cinereorufescens (Ach.) Clauzade & Roux,bellemerea lichen,Porpidiaceae
BECI3,ASCI12,Aspilicia cinereorufescens (Ach.) A. Massal.,,
BECI3,LECI9,Lecanora cinereorufescens (Ach.) Hepp,,
BECKM,,Beckmannia Host,sloughgrass,Poaceae
BECO,,Begonia coccinea Hook.,scarlet begonia,Begoniaceae
BECO2,,Begonia convolvulacea A. DC.,morning-glory begonia,Begoniaceae
BECO5,,Beloglottis costaricensis (Rchb. f.) Schltr.,Costa Rican lady's tresses,Orchidaceae
BECO5,SPCO6,Spiranthes costaricensis Rchb. f.,,
BECR3,,Bergenia crassifolia (L.) Fritsch,Siberian-tea,Saxifragaceae
BECR3,BECO7,Bergenia cordifolia (Haw.) Sternb.,,
BECU,,Begonia cucullata Willd.,clubed begonia,Begoniaceae
BECU,BECUH,Begonia cucullata Willd. var. hookeri (A. DC.) L.B. Sm. & B.G. Schub.,,
BECU,BESE,Begonia semperflorens Link & Otto,,
BEDA,,Berberis darwinii Hook.,Darwin's berberis,Berberidaceae
BEDE2,,Begonia decandra Pav. ex A. DC.,native begonia,Begoniaceae
BEDI2,,Bernardia dichotoma (Willd.) Müll. Arg.,Caribbean myrtlecroton,Euphorbiaceae
BEDI2,ADBE2,Adelia bernardia L.,,
BEDI3,,Bellemerea diamarta (Ach.) Hafellner & Roux,bellemerea lichen,Porpidiaceae
BEDI3,ASDI12,Aspilicia diamarta (Ach.) Boistel,,
BEDU,,Betula ×dugleana Lepage,birch,Betulaceae
BEDU2,,Betula ×dutillyi Lepage,Dutilly's birch,Betulaceae
BEEA,,Betula ×eastwoodiae Sarg. (pro sp.),birch,Betulaceae
BEEA,BEAR2,Betula ×arbuscula Dugle,,
BEEM,,Bergerocactus emoryi (Engelm.) Britton & Rose,golden snakecactus,Cactaceae
BEEM,BEEM2,Bergerocereus emoryi (Engelm.) Britton & Rose,,
BEEM,CEEM,Cereus emoryi Engelm.,,
BEER,,Berula erecta (Huds.) Coville,cutleaf waterparsnip,Apiaceae
BEER,BEERI2,Berula erecta (Huds.) Coville var. incisa (Torr.) Cronquist,,
BEER,BEIN3,Berula incisa (Torr.) G.N. Jones,,
BEER,BEPU6,Berula pusilla Fernald,,
BEER,SIER2,Siella erecta (Huds.) M. Pimen.,,
BEEX2,,Bertholletia excelsa Humb. & Bonpl.,brazilnut,Lecythidaceae
BEFE,,Berberis fendleri A. Gray,Colorado barberry,Berberidaceae
BEFO,,Begonia foliosa Kunth,fuchsia begonia,Begoniaceae
BEFOM,,Begonia foliosa Kunth var. miniata (Planch.) L.B. Sm. & B.G. Schub.,fuchsia begonia,Begoniaceae
