Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
CLAC6,,Claytonia acutifolia Pall. ex Schult. [excluded],,Portulacaceae
CLAC60,,Cladonia acuminata (Ach.) Norrlin,acutetip cup lichen,Cladoniaceae
CLAC60,CLACN,Cladonia acuminata (Ach.) Norrlin var. norlinii (Vain.) Lynge,,
CLAC60,CLNO,Cladonia norrlinii Vain.,,
CLAD,,Clematis addisonii Britton,Addison's leather flower,Ranunculaceae
CLAD,CLVI11,Clematis viornioides Britton,,
CLAD,COAD2,Coriflora addisonii (Britton) W.A. Weber,,
CLAD,VIAD5,Viorna addisonii (Britton) Small,,
CLADI,,Cladium P. Br.,sawgrass,Cyperaceae
CLADI2,,Cladidium Hafellner,cladidium lichen,Lecanoraceae
CLADI3,,Cladina (Nyl.) Nyl.,reindeer lichen,Cladoniaceae
CLADO,,Cladoraphis Franch.,bristly lovegrass,Poaceae
CLADO2,,Cladopodiella H. Buch,,Cephaloziaceae
CLADO3,,Cladonia P. Browne,cup lichen,Cladoniaceae
CLADR,,Cladrastis Raf.,yellowwood,Fabaceae
CLAF,,Clarkia affinis F.H. Lewis & M.E. Lewis,chaparral clarkia,Onagraceae
CLAL,,Clematis albicoma Wherry,whitehair leather flower,Ranunculaceae
CLAL,COAL7,Coriflora albicoma (Wherry) W.A. Weber,,
CLAL11,,Cladonia albonigra Brodo & Ahti,,Cladoniaceae
CLAL12,,Cladonia alinii Trass,,Cladoniaceae
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush,Clethraceae
CLAL3,CLALT,Clethra alnifolia L. var. tomentosa (Lam.) Michx.,,
CLAL3,CLTO,Clethra tomentosa Lam.,,
CLAL4,,Cleyera albopunctata (Griseb.) Krug & Urb.,teta prieta,Theaceae
CLAL4,ERAL15,Eroteum albopunctatum (Griseb.) Britton,,
CLAL4,TEAL3,Ternstroemia albopunctata Griseb.,,
CLAL60,,Cladonia alaskana A. Evans,Alaskan cup lichen,Cladoniaceae
CLAM,,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr.,farewell to spring,Onagraceae
CLAM3,,Climacium americanum Brid.,American climacium moss,Climaciaceae
CLAM60,,Cladonia amaurocraea (Flörke) Schaerer,cup lichen,Cladoniaceae
CLAMA,,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. ssp. amoena,farewell to spring,Onagraceae
CLAMA,GOAM,Godetia amoena (Lehm.) G. Don,,
CLAMC,,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. ssp. caurina (Abrams ex Piper) F.H. Lewis & M.E. Lewis,farewell to spring,Onagraceae
CLAMC,CLAMC2,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. var. caurina (Abrams ex Piper) C.L. Hitchc.,,
CLAMC,CLAMP,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. var. pacifica (M. Peck) C.L. Hitchc.,,
CLAMC,GOPA2,Godetia pacifica M. Peck,,
CLAMH,,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. ssp. huntiana (Jeps.) F.H. Lewis & M.E. Lewis,farewell to spring,Onagraceae
CLAML,,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. ssp. lindleyi (Douglas) F.H. Lewis & M.E. Lewis,Lindley's clarkia,Onagraceae
CLAML,CLAML2,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. var. lindleyi (Douglas) C.L. Hitchc.,,
CLAMW,,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. ssp. whitneyi (A. Gray) F.H. Lewis & M.E. Lewis,Whitney's clarkia,Onagraceae
CLAMW,GOWH,Godetia whitneyi (A. Gray) T. Moore,,
CLAN,,Cleomella angustifolia Torr.,narrowleaf rhombopod,Capparaceae
CLAN2,,Clintonia andrewsiana Torr.,Andrew's clintonia,Liliaceae
CLAN3,,Cladonia anitae W.L. Culb. & C.F. Culb.,cup lichen,Cladoniaceae
CLAN5,,Cladonia andereggii S. Hammer,,Cladoniaceae
CLAN8,,Clidemia angustilamina W.S. Judd & Skean,narrowleaf terciopelo,Melastomataceae
CLAN8,CLAN7,"Clidemia angustilamia W.S. Judd & Skean, orth. var.",,
CLAN8,HEAN6,"Heterotrichum angustifolium DC., nom. illeg.",,
CLAOP,,Claopodium (Lesq. & James) Renauld & Cardot,claopodium moss,Leskeaceae
CLAOX,,Claoxylon A. Juss.,claoxylon,Euphorbiaceae
CLAP2,,Cladonia apodocarpa Robbins,cup lichen,Cladoniaceae
CLAP3,,Clematis apiifolia DC.,,Ranunculaceae
CLAPP,,Clappia A. Gray,clapdaisy,Asteraceae
CLAPP2,,Clappertonia Meissner,clappertonia,Tiliaceae
CLAR,,Clarkia arcuata (Kellogg) A. Nelson & J.F. Macbr.,glandular clarkia,Onagraceae
CLAR,GOHI6,Godetia hispidula S. Watson,,
CLAR2,,Claytonia arctica M.F. Adams,arctic springbeauty,Portulacaceae
CLAR3,,Claytonia arenicola L.F. Hend.,sand springbeauty,Portulacaceae
CLAR3,MOAR5,Montia arenicola (L.F. Hend.) Howell,,
CLAR4,,Clermontia arborescens (H. Mann) Hillebr.,'oha wai nui,Campanulaceae
CLAR5,,Clinopodium arkansanum (Nutt.) House,limestone calamint,Lamiaceae
CLAR5,CAAR33,Calamintha arkansana (Nutt.) Shinners,,
CLAR5,CAGLA2,Calamintha glabella (Michx.) Benth. var. angustifolia (Torr.) DeWolf,,
CLAR5,CLGL3,Clinopodium glabrum (Nutt.) Kuntze,,
CLAR5,HEAR13,Hedeoma arkansana Nutt.,,
CLAR5,HEGL11,Hedeoma glabra Nutt.,,
CLAR5,SAAR11,Satureja arkansana (Nutt.) Briq.,,
CLAR5,SAGL8,Satureja glabra (Nutt.) Fernald,,
CLAR5,SAGLA2,Satureja glabella (Michx.) Briq. var. angustifolia (Torr.) Svens.,,
CLAR60,,Cladina arbuscula (Wallr.) Hale & W.L. Culb.,reindeer lichen,Cladoniaceae
CLAR60,CLAR6,Cladonia arbuscula (Wallr.) Flotow,,
CLAR60,CLSY2,Cladonia sylvatica auct.,,
CLAR7,,Clematis armandii Franch.,,Ranunculaceae
CLAR9,,Cladonia artuata S. Hammer,,Cladoniaceae
CLARA,,Clermontia arborescens (H. Mann) Hillebr. ssp. arborescens,'oha wai nui,Campanulaceae
CLARA,CLFU2,Clermontia furcata E. Wimm.,,
CLARA,CLMA7,Clermontia mannii H. St. John,,
CLARB,,Cladina arbuscula (Wallr.) Hale & W.L. Culb. ssp. beringiana (Ahti) N.S. Golubk.,Bering reindeer lichen,Cladoniaceae
CLARB,CLBE5,Cladina beringiana (Ahti) Trass,,
CLARK,,Clarkia Pursh,clarkia,Onagraceae
CLARW,,Clermontia arborescens (H. Mann) Hillebr. ssp. waihiae (Wawra) Lammers,'oha wai nui,Campanulaceae
CLARW2,,Clermontia arborescens (H. Mann) Hillebr. ssp. waikoluensis (H. St. John) Lammers,'oha wai nui,Campanulaceae
