Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
HASU3,SYSU,Synosma suaveolens (L.) Raf. ex Britton,,
HATE3,,Halesia tetraptera Ellis,mountain silverbell,Styracaceae
HATEM,,Halesia tetraptera Ellis var. monticola (Rehder) Reveal & Seldin,mountain silverbell,Styracaceae
HATEM,HACAM2,Halesia carolina L. var. monticola Rehder,,
HATEM,HAMO3,Halesia monticola (Rehder) Sarg.,,
HATEM,HAMOV,Halesia monticola (Rehder) Sarg. var. vestita Sarg.,,
HATET,,Halesia tetraptera Ellis var. tetraptera,mountain silverbell,Styracaceae
HATIO,,Hatiora Britton & Rose,hatiora,Cactaceae
HATR,,Harbouria trachypleura (A. Gray) J.M. Coult. & Rose,whiskbroom parsley,Apiaceae
HATR2,,Haplostachys truncata (A. Gray) Hillebr.,Maui islandmint,Lamiaceae
HATR4,,Haplohymenium triste (Ces.) Kindb.,haplohymenium moss,Anomodontaceae
HATR4,ANTR7,Anomodon tristis (Ces.) Sull. & Lesq.,,
HATU,,Habranthus tubispathus (L'Hér.) Traub,Rio Grande copperlily,Liliaceae
HATU,HATE2,Habranthus texanus Herb. ex Steud.,,
HATU,ZETE2,Zephyranthes texana Herb.,,
HAUN3,,Halodule uninervis Boiss.,halodule,Cymodoceaceae
HAUR,,Hackelia ursina (Greene ex A. Gray) I.M. Johnst.,Chihuahuan stickseed,Boraginaceae
HAURD,,Hackelia ursina (Greene ex A. Gray) I.M. Johnst. var. diaboli J.L. Gentry,Chihuahuan stickseed,Boraginaceae
HAURP,,Hackelia ursina (Greene ex A. Gray) I.M. Johnst. var. pustulata (J.F. Macbr.) J.L. Gentry,Chihuahuan stickseed,Boraginaceae
HAURU,,Hackelia ursina (Greene ex A. Gray) I.M. Johnst. var. ursina,Chihuahuan stickseed,Boraginaceae
HAVAR,,Havardia Small,havardia,Fabaceae
HAVE,,Hackelia velutina (Piper) I.M. Johnst.,velvet stickseed,Boraginaceae
HAVE,HALO,Hackelia longituba I.M. Johnst.,,
HAVE2,,Hamamelis vernalis Sarg.,Ozark witchhazel,Hamamelidaceae
HAVE2,HAVET,Hamamelis vernalis Sarg. var. tomentella (Rehder) Palmer,,
HAVE4,,Hackelia venusta (Piper) H. St. John,lesser showy stickseed,Boraginaceae
HAVE70,,Hamatocaulis vernicosus (Mitt.) Hedenäs,hamatocaulis moss,Amblystegiaceae
HAVE70,DRVE70,Drepanocladus vernicosus (Mitt.) Warnst.,,
HAVE70,LIVE6,Limprichtia vernicosa (Mitt.) Loeske,,
HAVE70,SCVE7,Scorpidium vernicosum (Mitt.) Tuom.,,
HAVI10,,Halecania viridescens Coppins & P. James,,Catillariaceae
HAVI2,,Hackelia virginiana (L.) I.M. Johnst.,beggarslice,Boraginaceae
HAVI2,LAVI7,Lappula virginiana (L.) Greene,,
HAVI2,MYVI,Myosotis virginiana L.,,
HAVI3,,Halimolobos virgata (Nutt.) O.E. Schulz,rod halimolobos,Brassicaceae
HAVI3,SIVI7,Sisymbrium virgatum Nutt.,,
HAVI4,,Hamamelis virginiana L.,American witchhazel,Hamamelidaceae
HAVI4,HAMA6,Hamamelis macrophylla Pursh,,
HAVI4,HAVIH,Hamamelis virginiana L. var. henryae Jenne ex C. Lane,,
HAVI4,HAVIM,Hamamelis virginiana L. var. macrophylla (Pursh) Nutt.,,
HAVI4,HAVIP,Hamamelis virginiana L. var. parvifolia Nutt.,,
HAVI9,,Hardenbergia violacea (Schneev.) Stearn,coral-pea,Fabaceae
HAWH,,Halimolobos whitedii (Piper) Rollins,Whited's fissurewort,Brassicaceae
HAWH,ARWH2,Arabis whitedii Piper,,
HAWH3,,Hazardia whitneyi (A. Gray) Greene,Whitney's bristleweed,Asteraceae
HAWHD2,,Hazardia whitneyi (A. Gray) Greene var. discoidea (J.T. Howell) W.D. Clark,Whitney's bristleweed,Asteraceae
HAWHD2,HAWHD,Haplopappus whitneyi A. Gray ssp. discoideus (J.T. Howell) D.D. Keck,,
HAWHW,,Hazardia whitneyi (A. Gray) Greene var. whitneyi,Whitney's bristleweed,Asteraceae
HAWHW,HAWH2,Haplopappus whitneyi A. Gray,,
HAWKS,,Hawksworthiana U. Braun,,Uncertain Ascomycota Family
HAWR,,Halodule wrightii Asch.,shoalweed,Cymodoceaceae
HAWR,DIBE3,Diplanthera beaudettei Hartog,,
HAWR,DIWR2,Diplanthera wrightii (Asch.) Asch.,,
HAWR,HABE2,Halodule beaudettei (Hartog) Hartog,,
HAZAR,,Hazardia Greene,bristleweed,Asteraceae
HEAB,,Heuchera abramsii Rydb.,San Gabriel alumroot,Saxifragaceae
