Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
LOAR5,OGAR2,Oglifa arvensis (L.) Cass.,,
LOAR8,,Lotus arabicus L.,,Fabaceae
LOAR9,,Lotus arenarius Brot.,,Fabaceae
LOARA2,,Lotus argophyllus (A. Gray) Greene var. argenteus Dunkle,silver bird's-foot trefoil,Fabaceae
LOARA2,HOOR4,Hosackia ornithopa Greene,,
LOARA2,HOORV,Hosackia ornithopa Greene ssp. venusta (Eastw.) Abrams,,
LOARA2,LOARO,Lotus argophyllus (A. Gray) Greene ssp. ornithopus (Greene) P.H. Raven,,
LOARA2,LOARO2,Lotus argophyllus (A. Gray) Greene var. ornithopus (Greene) Ottley,,
LOARA3,,Lotus argophyllus (A. Gray) Greene var. argophyllus,silver bird's-foot trefoil,Fabaceae
LOARA3,HOAR2,Hosackia argophylla A. Gray,,
LOARA3,HOARD,Hosackia argophylla A. Gray var. decora I.M. Johnst.,,
LOARA3,LOARD,Lotus argophyllus (A. Gray) Greene ssp. decorus (I.M. Johnst.) Munz,,
LOARA3,LOARD2,Lotus argophyllus (A. Gray) Greene var. decorus (I.M. Johnst.) Ottley,,
LOARA4,,Lotus argyraeus (Greene) Greene var. argyraeus,canyon bird's-foot trefoil,Fabaceae
LOARA4,HOAR3,Hosackia argyraea Greene,,
LOARA5,,Lotus argophyllus (A. Gray) Greene var. adsurgens Dunkle,Santa Cruz Island silverhosackia,Fabaceae
LOARA5,LOARA,Lotus argophyllus (A. Gray) Greene ssp. adsurgens (Dunkle) P.H. Raven,,
LOARF,,Lotus argophyllus (A. Gray) Greene var. fremontii (A. Gray) Ottley,Fremont's birsfoot trefoil,Fabaceae
LOARF,HOFR2,Hosackia fremontii (A. Gray) Abrams,,
LOARM,,Lotus argyraeus (Greene) Greene var. multicaulis (Ottley) Isely,canyon bird's-foot trefoil,Fabaceae
LOARM,HOWRM,Hosackia wrightii A. Gray ssp. multicaulis (Ottley) Abrams,,
LOARM,HOWRM2,Hosackia wrightii A. Gray var. multicaulis Ottley,,
LOARM,LOARM2,Lotus argyraeus (Greene) Greene ssp. multicaulis (Ottley) Munz,,
LOARN2,,Lotus argyraeus (Greene) Greene var. notitius Isely,canyon bird's-foot trefoil,Fabaceae
LOARN3,,Lotus argophyllus (A. Gray) Greene var. niveus (Greene) Ottley,Santa Cruz Island silverhosackia,Fabaceae
LOARN3,HONI2,Hosackia nivea (Greene) S. Watson,,
LOARN3,LOARN,Lotus argophyllus (A. Gray) Greene ssp. niveus (Greene) Munz,,
LOARN3,LONI2,Lotus niveus Greene,,
LOAS3,,Lophozia ascendens (Warnst.) R.M. Schust.,,Jungermanniaceae
LOAT,,Lomatium attenuatum Evert,tapertip desertparsley,Apiaceae
LOAU,,Lophiola aurea Ker Gawl.,goldencrest,Liliaceae
LOAU,LOAM3,Lophiola americana (Pursh) Alph. Wood,,
LOAU,LOSE3,Lophiola septentrionalis Fernald,,
LOAU3,,Lopadium augustini (Tuck.) Zahlbr.,Augustin granular lichen,Ectolechiaceae
LOAU5,,Lomatium austiniae (J.M. Coult. & Rose) J.M. Coult. & Rose,Austin desertparsley,Apiaceae
LOAU5,LOPLA,Lomatium plummerae (J.M. Coult. & Rose) J.M. Coult. & Rose var. austiniae (J.M. Coult. & Rose) Mathias,,
LOAU5,LOPLS,Lomatium plummerae (J.M. Coult. & Rose) J.M. Coult. & Rose var. sonnei (J.M. Coult. & Rose) Jeps.,,
LOAZ,,Lotononis azurea (Eckl. & Zeyh.) Benth.,,Fabaceae
LOBA5,,Lotononis bainesii Baker,lotononis,Fabaceae
LOBA6,,Lophozia bantriensis (Hook.) Steph.,,Jungermanniaceae
LOBA7,,Lophozia badensis (Gottsche ex Rabenh.) Schiffn.,,Jungermanniaceae
LOBA70,,Loeskypnum badium (Hartm.) Paul,loeskypnum moss,Amblystegiaceae
LOBA70,DRBA70,Drepanocladus badius (Hartm.) G. Roth,,
LOBAA,,Lophozia badensis (Gottsche ex Rabenh.) Schiffn. var. apiculata R.M. Schust.,,Jungermanniaceae
LOBAB,,Lophozia badensis (Gottsche ex Rabenh.) Schiffn. var. badensis,,Jungermanniaceae
LOBAR2,,Lobaria Schreb.,lung lichen,Lobariaceae
LOBE,,Lonicera ×bella Zabel,showy fly honeysuckle,Caprifoliaceae
LOBE,LOBEA2,Lonicera ×bella Zabel f. albida (Zabel) Rehder,,
LOBE2,,Lotus benthamii Greene,Bentham's broom,Fabaceae
LOBE2,HOCY,Hosackia cystoides Benth.,,
LOBE3,,Lobelia berlandieri A. DC.,Berlandier's lobelia,Campanulaceae
LOBE4,,Lomatium bentonitum K.M. Carlson & Mansfield,bentonite desertparsley,Apiaceae
LOBEB,,Lobelia berlandieri A. DC. var. brachypoda (A. Gray) McVaugh,Berlandier's lobelia,Campanulaceae
LOBEB,LOBR4,Lobelia brachypoda (A. Gray) A. DC. ex Small,,
LOBEB2,,Lobelia berlandieri A. DC. var. berlandieri,Berlandier's lobelia,Campanulaceae
LOBEL,,Lobelia L.,lobelia,Campanulaceae
LOBI,,Lomatium bicolor (S. Watson) J.M. Coult. & Rose,Wasatch desertparsley,Apiaceae
LOBI4,,Lophocolea bidentata (L.) Dumort.,,Geocalycaceae
LOBI5,,Lophozia bicrenata (Schmidel ex Hoffm.) Dumort.,,Jungermanniaceae
LOBIB,,Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. bicolor,Wasatch desertparsley,Apiaceae
LOBIB2,,Lophozia bicrenata (Schmidel ex Hoffm.) Dumort. var. bicrenata,,Jungermanniaceae
LOBII,,Lophozia bicrenata (Schmidel ex Hoffm.) Dumort. var. immersa R.M. Schust. & Damsh.,,Jungermanniaceae
LOBIL,,Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. leptocarpum (Torr. & A. Gray) Schlessman,Wasatch desertparsley,Apiaceae
LOBIL,LOLE2,Lomatium leptocarpum (Torr. & A. Gray) J.M. Coult. & Rose,,
LOBIV,,Lobivia Britton & Rose,lobivia,Cactaceae
LOBO,,Lobelia boykinii Torr. & A. Gray ex A. DC.,Boykin's lobelia,Campanulaceae
LOBOT,,Lobothallia (Clauzade & Roux) Hafellner,,Hymeneliaceae
LOBR,,Lomatium bradshawii (Rose ex Mathias) Mathias & Constance,Bradshaw's desertparsley,Apiaceae
LOBR,LEBR4,Leptotaenia bradshawii Rose ex Mathias,,
LOBR2,,Lomatium brandegeei (J.M. Coult. & Rose) J.F. Macbr.,Brandegee's desertparsley,Apiaceae
LOBR2,CYBR8,Cynomarathrum brandegeei J.M. Coult. & Rose,,
LOBR3,,Lobelia brevifolia Nutt. ex A. DC.,shortleaf lobelia,Campanulaceae
LOBR7,,Loeskeobryum brevirostre (Brid.) Fleisch.,loeskeobryum moss,Hylocomiaceae
LOBR7,HYBR9,Hylocomium brevirostre (Brid.) Schimp.,,
LOBR9,,Lomatium brunsfeldianum Kemper & R.P. McNeill,Brunsfeld's desertparsley,Apiaceae
LOBUL,,Lobularia Desv.,lobularia,Brassicaceae
LOCA,,Lobelia canbyi A. Gray,Canby's lobelia,Campanulaceae
LOCA13,,Lolium canariense Steud.,,Poaceae
LOCA17,,Lophozia capitata (Hook.) Macoun,,Jungermanniaceae
LOCA18,,Lobivia caespitosa (J.A. Purpus) Britton & Rose,,Cactaceae
LOCA19,,Logfia californica (Nutt.) Holub,California cottonrose,Asteraceae
LOCA19,FICA2,Filago californica Nutt.,,
LOCA19,OGCA,Oglifa californica (Nutt.) Rydb.,,
LOCA2,,Lobelia cardinalis L.,cardinalflower,Campanulaceae
LOCA2,LOCAG2,Lobelia cardinalis L. ssp. graminea (Lam.) McVaugh,,
LOCA2,LOCAG5,Lobelia cardinalis L. var. graminea (Lam.) McVaugh,,
LOCA2,LOCAM,Lobelia cardinalis L. var. multiflora (Paxton) McVaugh,,
LOCA2,LOCAM3,Lobelia cardinalis L. var. meridionalis Bowden,,
LOCA2,LOCAP4,Lobelia cardinalis L. var. pseudosplendens McVaugh,,
LOCA2,LOCAP5,Lobelia cardinalis L. var. phyllostachya (Engelm.) McVaugh,,
LOCA2,LOCAP6,Lobelia cardinalis L. var. propinqua (Paxton) Bowden,,
LOCA2,LOFU,Lobelia fulgens Humb. & Bonpl. ex Willd.,,
LOCA2,LOSP3,Lobelia splendens Humb. & Bonpl. ex Willd.,,
LOCA3,,Lomatium californicum (Nutt.) Mathias & Constance,California lomatium,Apiaceae
