Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
ORLUL2,ORMUA,Orobanche multiflora Nutt. var. arenosa (Suksd.) Munz,,
ORLUM,,Orobanche ludoviciana Nutt. ssp. multiflora (Nutt.) T.S. Collins ex H.L. White & W.C. Holmes,manyflower broomrape,Orobanchaceae
ORLUM,MYMU2,Myzorrhiza multiflora (Nutt.) Rydb.,,
ORLUM,ORLUM2,Orobanche ludoviciana Nutt. var. multiflora (Nutt.) G. Beck,,
ORLUM,ORMU,Orobanche multiflora Nutt.,,
ORLUM,ORMUP2,Orobanche multiflora Nutt. var. pringlei Munz,,
ORLUM,ORMUT,Orobanche multiflora Nutt. var. typica Munz,,
ORLUM,PHER4,Phelipaea erianthera Engelm.,,
ORLUV2,,Orbea lutea (N.E. Br.) Bruyns ssp. vaga (N.E. Br.) Bruyns,,Asclepiadaceae
ORLUV2,CANE28,Caralluma nebrownii A. Berger,,
ORLY,,Orthotrichum lyellii Hook. & Taylor,Lyell's orthotrichum moss,Orthotrichaceae
ORLY,ORLYP,Orthotrichum lyellii Hook. & Taylor var. papillosum (Hampe) Sull.,,
ORLY,ORPA5,Orthotrichum papillosum Hampe,,
ORMA,,Origanum majorana L.,sweet marjoram,Lamiaceae
ORMA,MAHO3,Majorana hortensis Moench,,
ORMA,MAMA24,"Majorana majorana (L.) Karst., nom. inval.",,
ORMA2,,Orbexilum macrophyllum (Rowlee) Rydb.,largeleaf leather-root,Fabaceae
ORMA2,PSMA3,Psoralea macrophylla Rowlee,,
ORMA6,,Origanum maru L.,Egyptian marjoram,Lamiaceae
ORMA7,,Oreas martiana (Hoppe & Hornsch.) Brid.,oreas moss,Dicranaceae
ORMI,,Orobanche minor Sm.,hellroot,Orobanchaceae
ORMO2,,Orphniospora moriopsis (A. Massal.) D. Hawksw.,orphniospora lichen,Fuscideaceae
ORMO2,BUAT,Buellia atrata (Sm.) Anzi,,
ORMO2,BUCO9,Buellia coracina (Nyl.) Körb.,,
ORMO2,BUMO4,Buellia moriopsis (A. Massal.) Th. Fr.,,
ORMO2,ORAT2,Orphniospora atrata (Sm.) Poelt,,
ORMO5,,Orchis morio L.,green-winged orchid,Orchidaceae
ORMOC,,Ormocarpum P. Beauv.,ormocarpum,Fabaceae
ORMOS,,Ormosia Jacks.,ormosia,Fabaceae
ORMU3,,Orobanche multicaulis Brandegee,spiked broomrape,Orobanchaceae
ORMU3,ORMUG,Orobanche multicaulis Brandegee var. genuina Munz,,
ORMUP4,,Orobanche multicaulis Brandegee var. palmeri Munz [excluded],,Orobanchaceae
ORNE,,Oryctes nevadensis S. Watson,Nevada oryctes,Solanaceae
ORNIT,,Ornithogalum L.,star of Bethlehem,Liliaceae
ORNIT2,,Ornithopus L.,bird's-foot,Fabaceae
ORNIT3,,Ornithostaphylos Small,ornithostaphylos,Ericaceae
ORNU,,Ornithogalum nutans L.,drooping star of Bethlehem,Liliaceae
OROB70,,Orthotrichum obtusifolium Brid.,obtuseleaf aspen moss,Orthotrichaceae
OROB70,NYOB,Nyholmiella obtusifolia (Brid.) Holmen & Warncke,,
OROBA,,Orobanche L.,broomrape,Orobanchaceae
OROCH,,Orochaenactis Coville,orochaenactis,Asteraceae
OROGE,,Orogenia S. Watson,Indian potato,Apiaceae
OROH,,Orthotrichum ohioense Sull. & Lesq.,Ohio orthotrichum moss,Orthotrichaceae
ORON,,Orbexilum onobrychis (Nutt.) Rydb.,French-grass,Fabaceae
ORON,PSON,Psoralea onobrychis Nutt.,,
ORON2,,Origanum onites L.,pot marjoram,Lamiaceae
ORON2,MAON,Majorana onites (L.) Benth.,,
ORONT,,Orontium L.,goldenclub,Araceae
OROP,,Ornithostaphylos oppositifolia (Parry) Small,Baja birdbush,Ericaceae
ORPA,,Orthocarpus pachystachyus A. Gray,Shasta owl's-clover,Scrophulariaceae
ORPA2,,Orobanche parishii (Jeps.) Heckard,Parish's broomrape,Orobanchaceae
ORPA3,,Oreochrysum parryi (A. Gray) Rydb.,Parry's goldenrod,Asteraceae
ORPA3,ASMI18,Aster minor Kuntze,,
ORPA3,HAPA9,Haplopappus parryi A. Gray,,
ORPA3,SOPA4,Solidago parryi (A. Gray) Greene,,
ORPA6,,Orthotrichum pallens Bruch ex Brid.,orthotrichum moss,Orthotrichaceae
ORPA8,,Oreogrammitis palauensis (Hosok.) Parris,Palau dwarf polypody,Grammitidaceae
ORPA8,GRPA9,Grammitis palauensis Hosok.,,
ORPAB,,Orobanche parishii (Jeps.) Heckard ssp. brachyloba Heckard,Parish's broomrape,Orobanchaceae
ORPAC,,Orthotrichum pallens Bruch ex Brid. var. crenulatum Vitt,crenulate orthotrichum moss,Orthotrichaceae
ORPAJ,,Orthotrichum pallens Bruch ex Brid. var. johnsenae Vitt,Johnsen's orthotrichum moss,Orthotrichaceae
ORPAP,,Orobanche parishii (Jeps.) Heckard ssp. parishii,Parish's broomrape,Orobanchaceae
ORPAP,ORCAP,Orobanche californica Cham. & Schltdl. var. parishii Jeps.,,
ORPAP2,,Orthotrichum pallens Bruch ex Brid. var. pallens,orthotrichum moss,Orthotrichaceae
ORPE,,Orbexilum pedunculatum (Mill.) Rydb.,Sampson's snakeroot,Fabaceae
ORPE2,,Orthodontium pellucens (Hook.) Bruch & Schimp.,orthodontium moss,Bryaceae
ORPE3,,Orthotrichum pellucidum Lindb.,xerophytic limestone moss,Orthotrichaceae
ORPE3,ORCUJ,Orthotrichum cupulatum Brid. var. jamesianum (Sull.) E. Lawton,,
ORPE3,ORJA,Orthotrichum jamesianum Sull.,,
ORPE4,,Oreostemma peirsonii (Sharsm.) G.L. Nesom,Peirson's aster,Asteraceae
ORPE4,ASPE2,Aster peirsonii Sharsm.,,
ORPE80,,Ornithopus perpusillus L.,little white bird's-foot,Fabaceae
ORPEP,,Orbexilum pedunculatum (Mill.) Rydb. var. psoralioides (Walter) Isely,Sampson's snakeroot,Fabaceae
ORPEP,ORGR3,Orbexilum gracile (Torr. & A. Gray) Rydb.,,
ORPEP,ORPEG,Orbexilum pedunculatum (Mill.) Rydb. var. gracile (Torr. & A. Gray) J. Grimes,,
ORPEP,PSPS,Psoralea psoralioides (Walter) Cory,,
ORPEP,PSPSG,Psoralea psoralioides (Walter) Cory var. gracilis (Torr. & A. Gray) Freeman,,
ORPEP2,,Orbexilum pedunculatum (Mill.) Rydb. var. pedunculatum,Sampson's snakeroot,Fabaceae
ORPEP2,HEPE4,Hedysarum pedunculatum Mill.,,
ORPEP2,ORPEE,Orbexilum pedunculatum (Mill.) Rydb. var. eglandulosum (Elliott) Isely,,
ORPEP2,PSPE3,Psoralea pedunculata (Mill.) Vail,,
ORPEP2,PSPSE,Psoralea psoralioides (Walter) Cory var. eglandulosa (Elliott) Freeman,,
ORPHN,,Orphniospora Körb.,orphniospora lichen,Fuscideaceae
ORPI,,Orcuttia pilosa Hoover,hairy Orcutt grass,Poaceae
ORPI2,,Orobanche pinorum Geyer ex Hook.,conifer broomrape,Orobanchaceae
ORPI2,APPI2,Aphyllon pinorum (Geyer ex Hook.) A. Gray,,
ORPI2,MYPI2,Myzorrhiza pinorum (Geyer ex Hook.) Rydb.,,
ORPI2,PHPI3,Phelipaea pinorum (Geyer ex Hook.) A. Gray,,
ORPI3,,Ornithopus pinnatus (Mill.) Druce,yellow bird's-foot,Fabaceae
ORPR3,,Orthotrichum praemorsum Vent.,orthotrichum moss,Orthotrichaceae
ORPR3,ORARP,Orthotrichum arcticum Schimp. var. praemorsum (Vent.) Wijk & Margad.,,
ORPR3,ORMIP,Orthotrichum microblepharum Schimp. var. praemorsum (Vent.) Grout,,
ORPU10,,Orthotrichum pusillum Mitt.,orthotrichum moss,Orthotrichaceae
ORPU10,ORPS,Orthotrichum psilocarpum James,,
ORPU13,,Oryza punctata Kotzchy ex Steud.,red rice,Poaceae
ORPU15,,Orchis purpurella T. Stephensen & T.A. Stephensen [excluded],,Orchidaceae
