Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
PRACM,EUGL15,Euterpe globosa auct. non Gaertn.,,
PRACM,EUMO6,Euterpe montana Graham,,
PRACM,PRMO,Prestoea montana (Graham) G. Nicholson,,
PRAF2,,"Prosopis africana (Guill., Perr. & A. Rich.) Taubert",African mesquite,Fabaceae
PRAG,,Prestonia agglutinata (Jacq.) Woodson,babeiro,Apocynaceae
PRAG,ECAG,Echites agglutinata Jacq.,,
PRAL,,Prenanthes alata (Hook.) D. Dietr.,western rattlesnakeroot,Asteraceae
PRAL,PRLE,Prenanthes lessingii Hultén,,
PRAL11,,Prosopis alpataco Phil.,,Fabaceae
PRAL2,,Prenanthes alba L.,white rattlesnakeroot,Asteraceae
PRAL2,NAAL2,Nabalus albus (L.) Hook.,,
PRAL3,,Prenanthes altissima L.,tall rattlesnakeroot,Asteraceae
PRAL3,NAAL3,Nabalus altissimus (L.) Hook.,,
PRAL3,PRALC,Prenanthes altissima L. var. cinnamomea Fernald,,
PRAL4,,Proboscidea althaeifolia (Benth.) Decne.,desert unicorn-plant,Pedaliaceae
PRAL4,MAAL10,Martynia althaeifolia Benth.,,
PRAL4,MAAR10,Martynia arenaria Engelm.,,
PRAL4,PRAR,Proboscidea arenaria (Engelm.) Decne.,,
PRAL5,,Prunus alleghaniensis Porter,Allegheny plum,Rosaceae
PRAL6,,Primula alcalina Cholewa & Douglass M. Hend.,bluedome primrose,Primulaceae
PRAL7,,Prunus alabamensis C. Mohr,Alabama cherry,Rosaceae
PRAL7,PAAL15,Padus alabamensis (C. Mohr) Small,,
PRAL7,PAAU5,Padus australis Beadle,,
PRAL7,PACU2,Padus cuthbertii Small,,
PRAL7,PRSEA,Prunus serotina Ehrh. var. alabamensis (C. Mohr) Little,,
PRAL7,PRSEH,Prunus serotina Ehrh. ssp. hirsuta (Elliott) McVaugh,,
PRAL8,,Prosopis alba Griseb.,algarrobo blanco,Fabaceae
PRALA,,Prunus alleghaniensis Porter var. alleghaniensis,Allegheny plum,Rosaceae
PRALD,,Prunus alleghaniensis Porter var. davisii (W. Wight) Sarg.,Davis' plum,Rosaceae
PRAM,,Prunus americana Marshall,American plum,Rosaceae
PRAM4,,Proiphys amboinensis (L.) Herb.,,Liliaceae
PRAM4,EUAM10,Eurycles amboinensis (L.) Lindl.,,
PRAN,,Primula angustifolia Torr.,alpine primrose,Primulaceae
PRAN2,,Prunus andersonii A. Gray,desert peach,Rosaceae
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum,Rosaceae
PRAN4,,Primula anvilensis S. Kelso,boreal primrose,Primulaceae
PRAN5,,Primula anisodora Balf. f. & G. Forrest [excluded],anise primrose,Primulaceae
PRAN6,,Pronectria anisospora (Lowen) Lowen,,Hypocreaceae
PRAN6,NEAN3,Nectriella anisospora Lowen,,
PRANA,,Prunus angustifolia Marshall var. angustifolia,Chickasaw plum,Rosaceae
PRANA,PRANV,Prunus angustifolia Marshall var. varians W. Wight & Hedrick,,
PRANW,,Prunus angustifolia Marshall var. watsonii (Sarg.) Waugh,Watson's plum,Rosaceae
PRANW,PRWA2,Prunus watsonii Sarg.,,
PRAR2,,Pritchardia arecina Becc.,Maui pritchardia,Arecaceae
PRAR3,,Prunus armeniaca L.,apricot,Rosaceae
PRAR3,ARVU5,Armeniaca vulgaris Lam.,,
PRAR3,PRARV,Prunus armeniaca L. var. vulgaris Zabel,,
PRAR6,,Prosopis argentina Burkart,,Fabaceae
PRAS,,Prenanthes aspera Michx.,rough rattlesnakeroot,Asteraceae
PRAS,NAAS,Nabalus asperus (Michx.) Torr. & A. Gray,,
PRASA,,Prasanthus Lindb.,,Gymnomitriaceae
PRAT,,Protoparmelia atriseda (Fr.) R. Sant. & V. Wirth,protoparmelia lichen,Lecanoraceae
PRAT,LEAT8,Lecanora atriseda (Fr.) Nyl.,,
PRAU,,Prenanthes autumnalis Walter,slender rattlesnakeroot,Asteraceae
PRAU,NAAU3,Nabalus autumnalis (Walter) Weakley,,
PRAU,NAVI3,Nabalus virgatus (Michx.) DC.,,
PRAU,PRVI4,Prenanthes virgata Michx.,,
PRAV,,Prunus avium (L.) L.,sweet cherry,Rosaceae
PRAV,CEAV,Cerasus avium (L.) Moench,,
PRAXE,,Praxelis Cass.,Praxelis,Asteraceae
PRAY,,Pritchardia aylmer-robinsonii H. St. John,Nihoa pritchardia,Arecaceae
PRAY,PRREA,"Pritchardia remota Becc. ssp. aylmer-robinsonii (H. St. John) Read, ined.",,
PRBA,,Prenanthes barbata (Torr. & A. Gray) Milstead,barbed rattlesnakeroot,Asteraceae
PRBA,PRSEB,Prenanthes serpentaria Pursh var. barbata Torr. & A. Gray,,
PRBA2,,Protoparmelia badia (Hoffm.) Hafellner,protoparmelia lichen,Lecanoraceae
PRBA2,LEBA4,Lecanora badia (Hoffm.) Ach.,,
PRBA2,LEGR10,Lecanora grandis H. Magn.,,
PRBA3,,Primula baileyana Kingdon-Ward,,Primulaceae
PRBA4,,Pritchardia bakeri Hodel,Baker's pritchardia,Arecaceae
PRBE,,Pritchardia beccariana Rock,Kilauea pritchardia,Arecaceae
PRBE,PRBEG,Pritchardia beccariana Rock var. giffardiana Becc.,,
PRBO,,Primula borealis Duby,northern primrose,Primulaceae
PRBO,PRAJ,Primula ajanensis E. Busch,,
PRBO,PRBOA,Primula borealis Duby var. ajanensis (E. Busch) Hultén,,
PRBO,PRCH,Primula chamissonis E. Busch,,
PRBO,PRKA5,Primula kawasimae H. Hara,,
PRBO,PRPA7,Primula parviflora (Jacq. ex Duby) Kuntze,,
PRBO,PRTE2,Primula tenuis Small,,
PRBO2,,Prenanthes boottii (DC.) A. Gray,alpine rattlesnakeroot,Asteraceae
PRBO2,NABO,Nabalus boottii DC.,,
PRBO3,,Prosthechea boothiana (Lindl.) W.E. Higgins,dollar orchid,Orchidaceae
PRBOE,,Prosthechea boothiana (Lindl.) W.E. Higgins var. erythronioides (Small) W.E. Higgins,dollar orchid,Orchidaceae
PRBOE,ENBO,Encyclia boothiana auct. non (Lindl.) Dressler,,
PRBOE,ENBOE2,Encyclia boothiana (Lindl.) Dressler var. erythronioides (Small) Luer,,
PRBOE,EPBO3,Epicladium boothianum auct. non (Lindl.) Small,,
PRBOE,EPER,Epidendrum erythronioides Small,,
PRBU2,,Prosopis burkartii Muñoz,,Fabaceae
PRCA,,Prunus caroliniana Aiton,Carolina laurelcherry,Rosaceae
PRCA,LACA10,Laurocerasus caroliniana (Aiton) M. Roem.,,
PRCA10,,Prosopis calingastana Burkart,cusqui,Fabaceae
PRCA11,,Prosopis campestris Griseb.,,Fabaceae
PRCA12,,Prosopis castellanosii Burkart,,Fabaceae
PRCA2,,Pristimera caribaea (Urb.) A.C. Sm.,bejuco prieto,Celastraceae
PRCA2,HICA9,Hippocratea caribaea Urb.,,
PRCA3,,Primula capillaris N.H. Holmgren & A.H. Holmgren,Ruby Mountain primrose,Primulaceae
PRCA4,,Protoblastenia calva (Dicks.) Zahlbr.,protoblastenia lichen,Psoraceae
PRCA4,PRRUC,Protoblastenia rupestris (Scop.) J. Steiner var. calva (Dicks.) J. Steiner,,
PRCA5,,"Prenanthes carrii Singhurst, O'Kennon & W.C. Holmes",Carr's rattlesnakeroot,Asteraceae
PRCA9,,Prosopis caldenia Burkart,,Fabaceae
PRCE,,Prunus cerasus L.,sour cherry,Rosaceae
PRCE2,,Prunus cerasifera Ehrh.,cherry plum,Rosaceae
PRCE2,PRCEP,Prunus cerasifera Ehrh. var. pissardii (Carrière) L.H. Bailey,,
PRCED,,Prunus cerasifera Ehrh. var. divaricata (Ledeb.) L.H. Bailey,,Rosaceae
PRCED,PRDIN2,Prunus divaricata Ledeb. ssp. nairica Kovalev,,
PRCH2,,Prosopis chilensis (Molina) Stuntz,algarrobo,Fabaceae
PRCI4,,Prosopis cineraria (L.) Druce,jand,Fabaceae
PRCL2,,Praxelis clematidea R.M. King & H. Rob.,Praxelis,Asteraceae
PRCL2,EUCL8,"Eupatorium clematideum Griseb., nom. illeg.",,
PRCL2,EUCL9,Eupatorium clematideum (Wall. ex DC.) Sch. Bip.,,
PRCO,,Protothelenella corrosa (Körb.) H. Mayrh. & Poelt,protothelenella lichen,Protothelenellaceae
PRCO,MICO17,Microglaena corrosa (Körb.) Arnold,,
PRCO4,,Prosthechea cochleata (L.) W.E. Higgins,clamshell orchid,Orchidaceae
PRCOC,,Prosthechea cochleata (L.) W.E. Higgins var. cochleata,clamshell orchid,Orchidaceae
PRCOC,ANCO10,Anacheilium cochleatum (L.) Hoffmanns.,,
PRCOC,ENCO3,Encyclia cochleata (L.) Dressler,,
PRCOC,EPCO3,Epidendrum cochleatum L.,,
PRCOT,,Prosthechea cochleata (L.) W.E. Higgins var. triandra (Ames) W.E. Higgins,clamshell orchid,Orchidaceae
PRCOT,ANCOT,"Anacheilium cochleatum (L.) Hoffmanns. var. triandrum (Ames) Sauleda, Wunderlin & B.F. Hansen",,
PRCOT,ENCOT,Encyclia cochleata (L.) Dressler var. triandra (Ames) Dressler,,
PRCOT,ENCOT2,Encyclia cochleata (L.) Dressler ssp. triandra (Ames) Hágsater,,
PRCOT,EPCOT,Epidendrum cochleatum L. var. triandrum Ames,,
PRCR,,Prenanthes crepidinea Michx.,nodding rattlesnakeroot,Asteraceae
PRCR,NACR,Nabalus crepidineus (Michx.) DC.,,
PRCR2,,Prockia crucis P. Br. ex L.,guasimilla,Flacourtiaceae
PRCU,,Primula cuneifolia Ledeb.,wedgeleaf primrose,Primulaceae
PRCU2,,Primula cusickiana (A. Gray) A. Gray,Cusick's primrose,Primulaceae
PRCU4,,Protoparmelia cupreoalbida (Nyl.) Poelt,,Lecanoraceae
PRCUC,,Primula cuneifolia Ledeb. ssp. cuneifolia,wedgeleaf primrose,Primulaceae
PRCUC2,,Primula cusickiana (A. Gray) A. Gray var. cusickiana,Cusick's primrose,Primulaceae
PRCUC2,PRBR2,Primula brodheadiae M.E. Jones,,
PRCUD,,Primula cusickiana (A. Gray) A. Gray var. domensis (Kass & S.L. Welsh) N.H. Holmgren & S. Kelso,House Range primrose,Primulaceae
PRCUD,PRDO3,Primula domensis Kass & S.L. Welsh,,
PRCUM,,Primula cusickiana (A. Gray) A. Gray var. maguirei (L.O. Williams) N.H. Holmgren & S. Kelso,Maguire's primrose,Primulaceae
PRCUM,PRMA7,Primula maguirei L.O. Williams,,
PRCUN,,Primula cusickiana (A. Gray) A. Gray var. nevadensis (N.H. Holmgren) N.H. Holmgren & S. Kelso,Nevada primrose,Primulaceae
PRCUN,PRNE,Primula nevadensis N.H. Holmgren,,
PRCUS,,Primula cuneifolia Ledeb. ssp. saxifragifolia (Lehm.) W.W. Sm. & G. Forrest,wedgeleaf primrose,Primulaceae
PRCUS,PRCUS2,Primula cuneifolia Ledeb. var. saxifragifolia (Lehm.) Pax & R. Knuth,,
PRCY2,,Protea cynaroides (L.) L.,king protea,Proteaceae
PRDE4,,Prosopis denudans Benth.,,Fabaceae
PRDO,,Prunus domestica L.,European plum,Rosaceae
PRDOD,,Prunus domestica L. var. domestica,European plum,Rosaceae
PRDOI,,Prunus domestica L. var. insititia (L.) Fiori & Paoletti,European plum,Rosaceae
PRDOI,PRDOI2,Prunus domestica L. ssp. insititia (L.) C.K. Schneid.,,
PRDOI,PRDOI3,"Prunus ×domestica L. var. insititia (L.) B. Boivin (pro nm.), nom. illeg.",,
PRDOI,PRIN8,Prunus insititia L.,,
PRDU,,Prunus dulcis (Mill.) D.A. Webb,sweet almond,Rosaceae
PRDU,AMCO14,Amygdalus communis L.,,
PRDU,AMDU3,Amygdalus dulcis Mill.,,
PRDU,PRAM3,Prunus amygdalus Batsch,,
PRDU,PRCO2,Prunus communis (L.) Arcang.,,
PRDU,PRDUA2,Prunus dulcis (Mill.) D.A. Webb var. amara (DC.) Buchheim,,
PREG,,Primula egaliksensis Wormsk. ex Hornem.,Greenland primrose,Primulaceae
PREG,PRGR3,Primula groenlandica (Warming) W.W. Sm. & G. Forrest,,
PREIS,,Preissia Corda,,Marchantiaceae
PREL3,,Primula elatior (L.) Hill,oxlip,Primulaceae
PREL5,,Prosopis elata (Burkart) Burkart,,Fabaceae
PREM,,Prunus emarginata (Douglas ex Hook.) D. Dietr.,bitter cherry,Rosaceae
PREME,,Prunus emarginata (Douglas ex Hook.) D. Dietr. var. emarginata,bitter cherry,Rosaceae
PREME,PREMC,Prunus emarginata (Douglas ex Hook.) D. Dietr. var. crenulata (Greene) Kearney & Peebles,,
PREMM,,Prunus emarginata (Douglas ex Hook.) D. Dietr. var. mollis (Douglas ex Hook.) W.H. Brewer,bitter cherry,Rosaceae
PREMN,,Premna L.,premna,Verbenaceae
PRENA,,Prenanthes L.,rattlesnakeroot,Asteraceae
PRENA2,,Prenanthella Rydb.,prenanthella,Asteraceae
PRER3,,Pronectria erythrinella (Nyl.) Lowen,,Hypocreaceae
