Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
UTOL,BIOL,Biovularia olivacea (C. Wright ex Griseb.) Kam.,,
UTPU,,Utricularia purpurea Walter,eastern purple bladderwort,Lentibulariaceae
UTPU,VEPU4,Vesiculina purpurea (Walter) Raf.,,
UTPU2,,Utricularia pusilla Vahl,tiny bladderwort,Lentibulariaceae
UTPU2,SEPU12,Setiscapella pusilla (Vahl) Barnhart,,
UTRA,,Utricularia radiata Small,little floating bladderwort,Lentibulariaceae
UTRA,UTINM,Utricularia inflata Walter var. minor Chapm.,,
UTRA2,,Utricularia racemosa Wall.,bladderwort,Lentibulariaceae
UTRE,,Utricularia resupinata B.D. Greene ex Bigelow,lavender bladderwort,Lentibulariaceae
UTRE,LERE11,Lecticula resupinata (B.D. Greene ex Bigelow) Barnhart,,
UTRIC,,Utricularia L.,bladderwort,Lentibulariaceae
UTSI,,Utricularia simulans Pilg.,fringed bladderwort,Lentibulariaceae
UTSI,ARFI5,Aranella fimbriata auct. non (Kunth) Barnhart,,
UTSI,UTFI2,Utricularia fimbriata auct. non Kunth,,
UTST,,Utricularia striata Leconte ex Torr.,striped bladderwort,Lentibulariaceae
UTST,UTFI3,"Utricularia fibrosa sensu Britton, non Walter",,
UTST2,,Utricularia stygia Thor,arctic bladderwort,Lentibulariaceae
UTSU,,Utricularia subulata L.,zigzag bladderwort,Lentibulariaceae
UTSU,SECL4,Setiscapella cleistogama (A. Gray) Barnhart,,
UTSU,SESU9,Setiscapella subulata (L.) Barnhart,,
UTSU,UTCL,Utricularia cleistogama (A. Gray) Britton,,
UTUL,,Utricularia uliginosa Vahl,bladderwort,Lentibulariaceae
UVFL,,Uvularia floridana Chapm.,Florida bellwort,Liliaceae
UVFL,OAFL,Oakesiella floridana (Chapm.) Small,,
UVGR,,Uvularia grandiflora Sm.,largeflower bellwort,Liliaceae
UVPE,,Uvularia perfoliata L.,perfoliate bellwort,Liliaceae
